assessment_id,title,url,description,category,test_type,level,duration_min,language,tags
products,Products,https://www.shl.com/products/,SHL products have been carefully designed to produce highly reusable data and to enhance all stages of the talent experience that drive performance and retention.,Home,P,Graduate,,English,
products-assessments-personality-assessment-shl-occupational-personality-questionnaire-opq,Occupational Personality Questionnaire (OPQ),https://www.shl.com/products/assessments/personality-assessment/shl-occupational-personality-questionnaire-opq/,"Our occupational personality questionnaire helps you to get accurate, bias-free assessments by matching individual working preferences to business requirements.",Home > Products > Assessments > Personality Assessment,P,Graduate,20.0,English,
products-assessments-job-focused-assessments,Skills Assessments that Predict On-the-job Success,https://www.shl.com/products/assessments/job-focused-assessments/,Measure the skills needed to succeed in any role with pre-packaged skills assessments. Fast and accurate measurement of job-relevant skills.,Home > Products > Assessments,P,Entry,,English,
products-assessments-personality-assessment-shl-motivation-questionnaire-mq,SHL Motivational Questionnaire,https://www.shl.com/products/assessments/personality-assessment/shl-motivation-questionnaire-mq/,"Build an engaged, high-performing workforce using our motivation questionnaire (MQ) by matching individual employee motivation to team and organizational goals.",Home > Products > Assessments > Personality Assessment,P,Graduate,20.0,English,
products-assessments-behavioral-assessments-situation-judgement-tests-sjt,Situational Judgement Tests,https://www.shl.com/products/assessments/behavioral-assessments/situation-judgement-tests-sjt/,"Using our Situational Judgment Tests (SJT), you can measure candidates' behavioral fit to a given role by assessing their response to a specific work situation.",Home > Products > Assessments > Behavioral Assessments,P,Graduate,,English,
products-assessments-cognitive-assessments,SHL Cognitive Assessments,https://www.shl.com/products/assessments/cognitive-assessments/,"Measure candidates' potential and ability to learn, adapt, and succeed in any role with SHL's cognitive ability tests and assessments.",Home > Products > Assessments,P,Graduate,,English,
products-360,Measure Past Performance and Future Potential,https://www.shl.com/products/360/,"Make strategic employee decisions with confidence and identify development gaps by gathering on-demand, 360-degree feedback from multiple stakeholders.",Home > Products,P,Graduate,4.0,English,
products-assessments,Assessments,https://www.shl.com/products/assessments/,Our unmatched portfolio of talent assessment tools helps you to clearly map employees and their skills to specific business needs and outcomes.,Home > Products,P,Graduate,,English,
products-assessments-behavioral-assessments,Behavioral Assessments,https://www.shl.com/products/assessments/behavioral-assessments/,SHL's behavioral assessments offer an engaging experience to candidates and help you to identify their behavioral fit to the roles.,Home > Products > Assessments,P,Graduate,,English,
products-assessments-personality-assessment,SHL Personality Assessments,https://www.shl.com/products/assessments/personality-assessment/,"Improve your hiring process with science-backed personality assessments that reveal each candidate’s preferences, motivations, and remote-work capability.",Home > Products > Assessments,P,Graduate,,English,
products-video-interviews,The Smarter Way to Interview Talent,https://www.shl.com/products/video-interviews/,Screen thousands of candidates quickly with our video interview tool and provide a seamless live video interview experience for shortlisted applicants.,Home > Products,P,Graduate,,English,
products-assessments-skills-and-simulations,Skills & Simulations,https://www.shl.com/products/assessments/skills-and-simulations/,Measure practical application and knowledge to scale your search for highly skilled candidates using SHL's skills assessments tools and job simulations.,Home > Products > Assessments,P,Graduate,,English,
products-assessments-skills-and-simulations-call-center-simulations,Assess Agents in a Real Contact Center Environment,https://www.shl.com/products/assessments/skills-and-simulations/call-center-simulations/,SHL’s Call Center Simulations and assessment tool helps you to identify agents with the critical competencies and personality in a real-life call center environment.,Home > Products > Assessments > Skills & Simulations,P,Graduate,,English,
products-assessments-skills-and-simulations-business-skills,Business Skills Assessment Tests for Deep Insights,https://www.shl.com/products/assessments/skills-and-simulations/business-skills/,"With our computer literacy test, assess candidates' Microsoft Office proficiency, such as working with graphs and charts, creating presentations, and more.",Home > Products > Assessments > Skills & Simulations,P,Graduate,,English,
products-assessments-skills-and-simulations-coding-simulations,SHL Coding Skills Assessment and Simulations,https://www.shl.com/products/assessments/skills-and-simulations/coding-simulations/,"Shortlist 45% more candidates within half the usual hiring time with our coding skills assessment for full stack, data engineering, front-end and more roles.",Home > Products > Assessments > Skills & Simulations,P,Graduate,,English,
products-assessments-skills-and-simulations-technical-skills,"Fast, Simple Technical Skill Assessment",https://www.shl.com/products/assessments/skills-and-simulations/technical-skills/,"SHL Technical Skills assessment helps you to measure knowledge of 180+ technology concepts in less than 15 minutes for Full Stack, Front-end, Data Science, DevOps, and more roles.",Home > Products > Assessments > Skills & Simulations,P,Graduate,15.0,English,
products-assessments-skills-and-simulations-language-evaluation,AI-powered Language Proficiency Tests,https://www.shl.com/products/assessments/skills-and-simulations/language-evaluation/,"SHL’s AI-powered suite of communication and language proficiency tests automates language assessment, helping you to faster find and hire the right people.",Home > Products > Assessments > Skills & Simulations,P,Graduate,,English,
products-assessments-assessment-and-development-centers,Go Digital and Deliver a Superior Experience,https://www.shl.com/products/assessments/assessment-and-development-centers/,Our end-to-end virtual assessment and development centers provide the most efficient and accurate way of identifying potential from anywhere in the world.,Home > Products > Assessments,P,Graduate,,English,
products-product-catalog,Find assessments that best meet your needs.,https://www.shl.com/products/product-catalog/,"Browse through our product assessment catalog for unrivalled employee assessments that evaluate cognitive ability, personality, behavior, skills, and more.",Home > Products,P,Entry,,English,
products-product-catalog-view-account-manager-solution,Account Manager Solution,https://www.shl.com/products/product-catalog/view/account-manager-solution/,Account Manager Solution : The Account Manager solution is an assessment used for job candidates applying to mid-level leadership positions that tend to manage the day-to-day operations…,Home > Products,P,Graduate,,English,
products-product-catalog-view-administrative-professional-short-form,Administrative Professional - Short Form,https://www.shl.com/products/product-catalog/view/administrative-professional-short-form/,Administrative Professional - Short Form: The Administrative Professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office…,Home > Products,P,Entry,,English,
products-product-catalog-view-agency-manager-solution,Agency Manager Solution,https://www.shl.com/products/product-catalog/view/agency-manager-solution/,Agency Manager Solution: The Agency Manager solution is for mid-level sales management positions that include front line management and sales responsibilities. Sample tasks for this…,Home > Products,P,Graduate,,English,
products-product-catalog-view-apprentice-8-0-job-focused-assessment-4261,Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,"Apprentice + 8.0 Job Focused Assessment: The Apprentice + 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. This…",Home > Products,P,Entry,,English,
products-product-catalog-view-apprentice-8-0-job-focused-assessment,Apprentice 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,"Apprentice 8.0 Job Focused Assessment: The Apprentice 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment. This assessment is designed for entry-level positions…",Home > Products,P,Entry,,English,
products-product-catalog-view-bank-administrative-assistant-short-form,Bank Administrative Assistant - Short Form,https://www.shl.com/products/product-catalog/view/bank-administrative-assistant-short-form/,Bank Administrative Assistant - Short Form: The Administrative Assistant solution is for entry-level clerical positions that interact with external or internal customers. Sample tasks for these jobs…,Home > Products,P,Entry,,English,
products-product-catalog-view-bank-collections-agent-short-form,Bank Collections Agent - Short Form,https://www.shl.com/products/product-catalog/view/bank-collections-agent-short-form/,Bank Collections Agent - Short Form: This solution is for entry-level collections positions in an inbound or outbound call center environment in a financial setting. Candidates answer multiple…,Home > Products,P,Entry,,English,
products-product-catalog-view-bank-operations-supervisor-short-form,Bank Operations Supervisor - Short Form,https://www.shl.com/products/product-catalog/view/bank-operations-supervisor-short-form/,Bank Operations Supervisor - Short Form: The Bank Operations Supervisor solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks…,Home > Products,P,Entry,,English,
products-product-catalog-view-bilingual-spanish-reservation-agent-solution,Bilingual Spanish Reservation Agent Solution,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,Bilingual Spanish Reservation Agent Solution: The Bilingual Reservation Agent solution is designed for customer centered entry-level positions within the hospitality industry. Sample tasks may include…,Home > Products,P,Entry,,English,
products-product-catalog-view-bookkeeping-accounting-auditing-clerk-short-form,"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,"Bookkeeping, Accounting, Auditing Clerk Short Form: The Bookkeeping, Accounting, and Auditing Clerk solution is for entry-level positions that involve entering numerical data into computer systems and…",Home > Products,P,Entry,,English,
products-product-catalog-view-branch-manager-short-form,Branch Manager - Short Form,https://www.shl.com/products/product-catalog/view/branch-manager-short-form/,Branch Manager - Short Form: This solution is for mid to upper-level financial institution managerial positions. Candidates answer a series of multiple choice questions to measure…,Home > Products,P,Graduate,,English,
products-product-catalog-view-cashier-solution,Cashier Solution,https://www.shl.com/products/product-catalog/view/cashier-solution/,"Cashier Solution: The Cashier solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased…",Home > Products,P,Entry,,English,
products-product-catalog,Find assessments that best meet your needs.,https://www.shl.com/products/product-catalog/?start=12&type=2,"Browse through our product assessment catalog for unrivalled employee assessments that evaluate cognitive ability, personality, behavior, skills, and more.",Home > Products,P,Entry,,English,
products-product-catalog-view-global-skills-development-report,Global Skills Development Report,https://www.shl.com/products/product-catalog/view/global-skills-development-report/,"Global Skills Development Report : This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this…",Home > Products,P,Entry,,English,
products-product-catalog-view-net-framework-4-5,.NET Framework 4.5,https://www.shl.com/products/product-catalog/view/net-framework-4-5/,".NET Framework 4.5: The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application…",Home > Products,P,Graduate,,English,
products-product-catalog-view-net-mvc-new,.NET MVC (New),https://www.shl.com/products/product-catalog/view/net-mvc-new/,".NET MVC (New): Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas.",Home > Products,P,Graduate,,English,
products-product-catalog-view-net-mvvm-new,.NET MVVM (New),https://www.shl.com/products/product-catalog/view/net-mvvm-new/,".NET MVVM (New): Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start.",Home > Products,P,Graduate,,English,
products-product-catalog-view-net-wcf-new,.NET WCF (New),https://www.shl.com/products/product-catalog/view/net-wcf-new/,".NET WCF (New): Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF.",Home > Products,P,Graduate,,English,
products-product-catalog-view-net-wpf-new,.NET WPF (New),https://www.shl.com/products/product-catalog/view/net-wpf-new/,".NET WPF (New): Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF…",Home > Products,P,Graduate,,English,
products-product-catalog-view-net-xaml-new,.NET XAML (New),https://www.shl.com/products/product-catalog/view/net-xaml-new/,".NET XAML (New): Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts.",Home > Products,P,Graduate,,English,
products-product-catalog-view-accounts-payable-new,Accounts Payable (New),https://www.shl.com/products/product-catalog/view/accounts-payable-new/,"Accounts Payable (New): Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries.",Home > Products,P,Entry,,English,
products-product-catalog-view-accounts-payable-simulation-new,Accounts Payable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,Accounts Payable Simulation (New): Simulated data entry test that measures the ability to process payables and vendor invoices.,Home > Products,P,Entry,,English,
products-product-catalog-view-accounts-receivable-new,Accounts Receivable (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,Accounts Receivable (New): Multiple-choice test that measures the knowledge of processing receivables and invoices.,Home > Products,P,Entry,,English,
products-product-catalog-view-accounts-receivable-simulation-new,Accounts Receivable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/,Accounts Receivable Simulation (New): Simulated data entry test that measures the ability to process receivables and invoices.,Home > Products,P,Entry,,English,
products-product-catalog-view-ado-net-new,ADO.NET (New),https://www.shl.com/products/product-catalog/view/ado-net-new/,"ADO.NET (New): Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects.",Home > Products,P,Graduate,,English,
products-product-catalog,Find assessments that best meet your needs.,https://www.shl.com/products/product-catalog/?start=12&type=1,"Browse through our product assessment catalog for unrivalled employee assessments that evaluate cognitive ability, personality, behavior, skills, and more.",Home > Products,P,Entry,,English,
solutions-products-product-catalog-view-automata-fix-new,Automata - Fix (New),https://www.shl.com/solutions/products/product-catalog/view/automata-fix-new/,"Automata - Fix (New): A simulated compiler integrated test to measure debugging skills in C, C++ and Java. The test checks the ability to fix logical or syntactical errors and to…",,P,Mid,,English,
solutions-products-product-catalog-view-core-java-entry-level-new,Core Java (Entry Level) (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/,"Core Java (Entry Level) (New): Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, file handling, exception handling, threads, generic class and inner class.",,P,Entry,,English,
solutions-products-product-catalog-view-java-8-new,Java 8 (New),https://www.shl.com/solutions/products/product-catalog/view/java-8-new/,"Java 8 (New): Multi-choice test that measures the knowledge of Java class design, exceptions, generics, collections, concurrency, JDBC and Java I/O fundamentals.",,P,Mid,,English,
solutions-products-product-catalog-view-core-java-advanced-level-new,Core Java (Advanced Level) (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-advanced-level-new/,"Core Java (Advanced Level) (New): Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, files and exception handling, and advanced Java concepts like generics…",,P,Mid,,English,
products-product-catalog-view-interpersonal-communications,Interpersonal Communications,https://www.shl.com/products/product-catalog/view/interpersonal-communications/,Interpersonal Communications: This adaptive test measures the candidate's knowledge of how to employ effective verbal and non-verbal communication to send his or her message and manage…,,P,Entry,,English,
solutions-products-product-catalog-view-entry-level-sales-7-1,Entry level Sales 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1/,Entry level Sales 7.1 (International): The Entry Level Sales 7.1 Solution is for entry-level positions in which employees proactively sell products or services to customers and have their…,,P,Entry,,English,
solutions-products-product-catalog-view-entry-level-sales-sift-out-7-1,Entry Level Sales Sift Out 7.1,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-sift-out-7-1/,Entry Level Sales Sift Out 7.1: The Entry Level Sales Sift Out 7.1 Solution is for entry-level positions in which employees proactively sell products or services to customers and have their…,,P,Entry,,English,
solutions-products-product-catalog-view-entry-level-sales-solution,Entry Level Sales Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-solution/,Entry Level Sales Solution: The Precise Fit Entry Level Sales Roles Solution is for entry-level positions in which employees proactively sell products or services to customers and have…,,P,Entry,,English,
solutions-products-product-catalog-view-sales-representative-solution,Sales Representative Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-representative-solution/,Sales Representative Solution: The Sales Representative solution is for entry-level sales positions in which employees proactively sell products to customers and have their pay and/or…,,P,Entry,,English,
products-product-catalog-view-business-communication-adaptive,Business Communication (adaptive),https://www.shl.com/products/product-catalog/view/business-communication-adaptive/,Business Communication (adaptive): This is an adaptive test that measures knowledge of communicating in the workplace. It measures the skills necessary to communicate effectively with coworkers…,,P,Entry,,English,
solutions-products-product-catalog-view-technical-sales-associate-solution,Technical Sales Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/technical-sales-associate-solution/,Technical Sales Associate Solution: The Technical Sales Associate solution is for entry-level retail positions in which employees proactively sell a specific line of products that requires…,,P,Entry,,English,
solutions-products-product-catalog-view-svar-spoken-english-indian-accent-new,SVAR - Spoken English (Indian Accent)  (New),https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-english-indian-accent-new/,"SVAR - Spoken English (Indian Accent)  (New): An automated spoken English test that measures fluency, pronunciation, active listening, vocabulary, grammar and spoken English understanding.     Your use of…",,P,Entry,,English,
solutions-products-product-catalog-view-english-comprehension-new,English Comprehension (New),https://www.shl.com/solutions/products/product-catalog/view/english-comprehension-new/,"English Comprehension (New): Multiple-choice test that measures vocabulary, grammar and reading comprehension skills.",,P,Entry,,English,
products-product-catalog-view-enterprise-leadership-report,Enterprise Leadership Report 1.0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report/,Enterprise Leadership Report 1.0: Assess and benchmark your leaders against enterprise leadership - the model for leader impact to drive business results in a complex work environment.  For…,,P,Mid,,English,
products-product-catalog-view-occupational-personality-questionnaire-opq32r,Occupational Personality Questionnaire OPQ32r,https://www.shl.com/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,"Occupational Personality Questionnaire OPQ32r: The SHL Occupational Personality Questionnaire, the OPQ32, is one of the most widely used and respected measures of workplace behavioural style in the world…",,P,Mid,,English,
solutions-products-product-catalog-view-opq-leadership-report,OPQ Leadership Report,https://www.shl.com/solutions/products/product-catalog/view/opq-leadership-report/,OPQ Leadership Report: This OPQ (Occupational Personality Questionnaire) report provides a detailed analysis of an individual's leadership potential.  It is based on SHL's leading…,,P,Mid,,English,
solutions-products-product-catalog-view-opq-team-types-and-leadership-styles-report,OPQ Team Types and Leadership Styles Report,https://www.shl.com/solutions/products/product-catalog/view/opq-team-types-and-leadership-styles-report,OPQ Team Types and Leadership Styles Report: This OPQ (Occupational Personality Questionnaire) report is based on Belbin's team types and Bass's leadership and reporting styles.  Belbins team types…,,P,Mid,,English,
products-product-catalog-view-enterprise-leadership-report-2-0,Enterprise Leadership Report 2.0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report-2-0/,Enterprise Leadership Report 2.0: Assess and benchmark your leaders against enterprise leadership - the model for leader impact to drive business results in a complex work environment.  For…,,P,Mid,,English,
solutions-products-product-catalog-view-global-skills-assessment,Global Skills Assessment,https://www.shl.com/solutions/products/product-catalog/view/global-skills-assessment/,Global Skills Assessment: The Global Skills Assessment (GSA) is an assessment used to measure 96 discrete skills/behaviors. These 96 skill scores are directly aligned to the most…,,P,Mid,,English,
solutions-products-product-catalog-view-verify-verbal-ability-next-generation,Verify - Verbal Ability - Next Generation,https://www.shl.com/solutions/products/product-catalog/view/verify-verbal-ability-next-generation/,"Verify - Verbal Ability - Next Generation: The Verbal Ability test measures the ability to read written passages and comprehend the text, interpret tone and author intent, identify main ideas, and…",,P,Entry,15.0,English,
solutions-products-product-catalog-view-shl-verify-interactive-inductive-reasoning,SHL Verify Interactive - Inductive Reasoning,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-inductive-reasoning/,SHL Verify Interactive - Inductive Reasoning: Evaluates ability to identify specific patterns in data or situations and generalize that information to broader contexts.,,P,Mid,,English,
solutions-products-product-catalog-view-marketing-new,Marketing (New),https://www.shl.com/solutions/products/product-catalog/view/marketing-new/,"Marketing (New): Multi-choice test that measures the conceptual knowledge of marketing principles, market research, consumer behavior, brand management, sales management…",,P,Mid,,English,
products-product-catalog-view-english-comprehension-new,English Comprehension (New),https://www.shl.com/products/product-catalog/view/english-comprehension-new/,"English Comprehension (New): Multiple-choice test that measures vocabulary, grammar and reading comprehension skills.",,P,Entry,,English,
solutions-products-product-catalog-view-drupal-new,Drupal (New),https://www.shl.com/solutions/products/product-catalog/view/drupal-new/,"Drupal (New): Multi-choice test that measures the knowledge of Drupal setup, content management, user interface, module development and security.",,P,Mid,,English,
solutions-products-product-catalog-view-written-english-v1,Written English v1,https://www.shl.com/solutions/products/product-catalog/view/written-english-v1/,Written English v1: The Written English test measures knowledge of US English grammar and English reading comprehension. It is designed for those with English as a second language…,,P,Entry,,English,
solutions-products-product-catalog-view-occupational-personality-questionnaire-opq32r,Occupational Personality Questionnaire OPQ32r,https://www.shl.com/solutions/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,"Occupational Personality Questionnaire OPQ32r: The SHL Occupational Personality Questionnaire, the OPQ32, is one of the most widely used and respected measures of workplace behavioural style in the world…",,P,Mid,,English,
solutions-products-product-catalog-view-search-engine-optimization-new,Search Engine Optimization (New),https://www.shl.com/solutions/products/product-catalog/view/search-engine-optimization-new/,"Search Engine Optimization (New): Multi-choice test that measures the knowledge on the concepts of need of SEO, SEO planning, SEO strategies, SEO software, tools and exchanging links.",,P,Mid,,English,
solutions-products-product-catalog-view-automata-selenium,Automata Selenium,https://www.shl.com/solutions/products/product-catalog/view/automata-selenium/,Automata Selenium: A coding simulation assessment that evaluates the ability to conduct tasks related to automation testing using Selenium scripts.,,P,Entry,,English,
products-product-catalog-view-professional-7-1-solution,Professional + 7.1 (International),https://www.shl.com/products/product-catalog/view/professional-7-1-solution/,"Professional + 7.1 (International): Our Professional + 7.1 solution is designed for all non-managerial professional individual contributor positions, and includes SHL’s new innovative…",,P,Mid,,English,
solutions-products-product-catalog-view-javascript-new,JavaScript (New),https://www.shl.com/solutions/products/product-catalog/view/javascript-new/,JavaScript (New): Multi-choice test that measures knowledge of programming in the JavaScript language and its application in front-end development.,,P,Mid,,English,
solutions-products-product-catalog-view-htmlcss-new,HTML/CSS (New),https://www.shl.com/solutions/products/product-catalog/view/htmlcss-new/,HTML/CSS (New): Multi-choice test that measures the knowledge of HTML to create a user interface and CSS to stylize it.,,P,Mid,,English,
solutions-products-product-catalog-view-css3-new,CSS3 (New),https://www.shl.com/solutions/products/product-catalog/view/css3-new/,CSS3 (New): Multi-choice test that measures the knowledge of CSS3 and its application in providing style to web documents.,,P,Mid,,English,
solutions-products-product-catalog-view-selenium-new,Selenium (New),https://www.shl.com/solutions/products/product-catalog/view/selenium-new/,"Selenium (New): Multi-choice test that measures the knowledge of Selenium IDE, Selenium RC, Selenium grid, web driver, test design considerations, user extensions, frameworks…",,P,Mid,,English,
solutions-products-product-catalog-view-sql-server-new,SQL Server (New),https://www.shl.com/solutions/products/product-catalog/view/sql-server-new/,"SQL Server (New): Multi-choice test that measures the knowledge of basic SQL queries, creating and altering tables, filtering, grouping, aggregation in SQL and querying multiple…",,P,Mid,,English,
solutions-products-product-catalog-view-automata-sql-new,Automata - SQL (New),https://www.shl.com/solutions/products/product-catalog/view/automata-sql-new/,"Automata - SQL (New): A simulated query writing test that measures the ability to write SQL queries to perform DDL, DML and DCL tasks.",,P,Mid,,English,
solutions-products-product-catalog-view-manual-testing-new,Manual Testing (New),https://www.shl.com/solutions/products/product-catalog/view/manual-testing-new/,"Manual Testing (New): Multi-choice test that measures the knowledge of the software testing life cycle, testing tools and techniques, design of test cases and generation of test…",,P,Mid,,English,
solutions-products-product-catalog-view-administrative-professional-short-form,Administrative Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,Administrative Professional - Short Form: The Administrative Professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office…,,P,Entry,,English,
solutions-products-product-catalog-view-verify-numerical-ability,Verify - Numerical Ability,https://www.shl.com/solutions/products/product-catalog/view/verify-numerical-ability/,Verify - Numerical Ability: The next-generation Verify Numerical Ability Test provides a replacement for the existing Numerical Reasoning test in our Verify range of ability tests and the…,,P,Entry,20.0,English,
solutions-products-product-catalog-view-financial-professional-short-form,Financial Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/financial-professional-short-form/,Financial Professional - Short Form: This solution is for mid-level financial institution positions that require Series 6/7 certification. Candidates answer multiple choice questions to measure…,,P,Mid,,English,
solutions-products-product-catalog-view-bank-administrative-assistant-short-form,Bank Administrative Assistant - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,Bank Administrative Assistant - Short Form: The Administrative Assistant solution is for entry-level clerical positions that interact with external or internal customers. Sample tasks for these jobs…,,P,Entry,,English,
solutions-products-product-catalog-view-general-entry-level-data-entry-7-0-solution,General Entry Level – Data Entry 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/,General Entry Level – Data Entry 7.0 Solution: Our General Entry Level – Data Entry 7.0 solution is designed for entry-level positions that include entering data into computers or data management systems…,,P,Entry,,English,
solutions-products-product-catalog-view-basic-computer-literacy-windows-10-new,Basic Computer Literacy (Windows 10) (New),https://www.shl.com/solutions/products/product-catalog/view/basic-computer-literacy-windows-10-new/,"Basic Computer Literacy (Windows 10) (New): The Basic Computer Literacy (Windows 10) simulation measures knowledge of general computer terminology, processes, and applications and the ability to perform…",,P,Entry,,English,
solutions-products-product-catalog-view-manager-8-0-jfa-4310,Manager 8.0+ JFA,https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa-4310/,Manager 8.0+ JFA: The Manager 8.0+ Job-Focused Assessment is designed for candidates applying to their first leadership positions and includes SHL’s new innovative mobile-first…,,P,Mid,,English,
solutions-products-product-catalog-view-microsoft-excel-365-essentials-new,Microsoft Excel 365 - Essentials (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-essentials-new/,"Microsoft Excel 365 - Essentials (New): The Microsoft Excel 365 - Essentials simulation evaluates ability to perform certain operations in a simulated environment of MS Excel, and includes the…",,P,Entry,,English,
solutions-products-product-catalog-view-digital-advertising-new,Digital Advertising (New),https://www.shl.com/solutions/products/product-catalog/view/digital-advertising-new/,Digital Advertising (New): Multi-choice test that measures the candidate's knowledge about use of AdWords and tools to analyze ad performance on digital media.,,P,Mid,,English,
solutions-products-product-catalog-view-writex-email-writing-sales-new,WriteX - Email Writing (Sales) (New),https://www.shl.com/solutions/products/product-catalog/view/writex-email-writing-sales-new/,"WriteX - Email Writing (Sales) (New): Open response test that evaluates the ability to write proper emails in English. The test provides scores on content, grammar and email etiquette.     Your use…",,P,Entry,,English,
solutions-products-product-catalog-view-shl-verify-interactive-numerical-calculation,SHL Verify Interactive Numerical Calculation,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-numerical-calculation/,SHL Verify Interactive Numerical Calculation: The Verify Interactive Numerical Calculation test measures a candidate’s ability to work with numbers and use appropriate mathematics in different situations…,,P,Entry,,English,
solutions-products-product-catalog-view-professional-7-1-solution,Professional + 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution/,"Professional + 7.1 (International): Our Professional + 7.1 solution is designed for all non-managerial professional individual contributor positions, and includes SHL’s new innovative…",,P,Mid,,English,
solutions-products-product-catalog-view-sql-server-analysis-services-28ssas-29-28new-29,SQL Server Analysis Services (SSAS) (New),https://www.shl.com/solutions/products/product-catalog/view/sql-server-analysis-services-%28ssas%29-%28new%29/,"SQL Server Analysis Services (SSAS) (New): Multi-choice test that measures the knowledge of SSAS database, querying multidimensional analysis solutions, cube hierarchies, measures, dimensions, power BI…",,P,Mid,,English,
solutions-products-product-catalog-view-python-new,Python (New),https://www.shl.com/solutions/products/product-catalog/view/python-new/,"Python (New): Multi-choice test that measures the knowledge of Python programming, databases, modules and library.",,P,Mid,,English,
solutions-products-product-catalog-view-tableau-new,Tableau (New),https://www.shl.com/solutions/products/product-catalog/view/tableau-new/,"Tableau (New): Multi-choice test that measures the knowledge of how to use Tableau to prepare tables, create visualizations, perform calculations, apply filters and carry out…",,P,Mid,,English,
solutions-products-product-catalog-view-microsoft-excel-365-new,Microsoft Excel 365 (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-new/,"Microsoft Excel 365 (New): The Microsoft Excel 365 simulation evaluates ability to perform certain operations in a simulated environment of MS Excel, and includes the following topics…",,P,Entry,,English,
solutions-products-product-catalog-view-professional-7-0-solution-3958,Professional + 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution-3958/,"Professional + 7.0 Solution: Our Professional + 7.0 solution is designed for all non-managerial professional individual contributor positions, and includes SHL’s new innovative…",,P,Mid,,English,
solutions-products-product-catalog-view-data-warehousing-concepts,Data Warehousing Concepts,https://www.shl.com/solutions/products/product-catalog/view/data-warehousing-concepts/,"Data Warehousing Concepts: The Data Warehousing Concepts test measures knowledge of Data Warehousing. Designed for experienced users, this test covers the following topics: Big Data and…",,P,Mid,,English,
